"","X","Player","Age","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS.G","Tm","fix"
"98",140,"Tre Scott",25,2,0,5.5,1.5,3,0.5,0,0.5,0,1.5,2.5,0.6,0.5,0,0,NA,0.5,0.5,1,0,0.5,0.5,0,1,3,"CLE","trescott"
"99",141,"Tacko Fall",26,11,1,5.4,0.5,1.1,0.417,0,0,NA,0.5,1.1,0.417,0.417,0.2,0.6,0.286,0.6,1.5,2.1,0.2,0,0.5,0.3,0.3,1.1,"CLE","tackofall"
"100",142,"RJ Nembhard Jr.",22,14,0,4.5,0.4,1.3,0.333,0,0.1,0,0.4,1.1,0.375,0.333,0.2,0.3,0.75,0.2,0.3,0.5,0.9,0.1,0,0.2,0.1,1.1,"CLE","rjnembhardjr"
"101",144,"Luka Dončić",22,65,65,35.4,9.9,21.6,0.457,3.1,8.8,0.353,6.8,12.8,0.528,0.529,5.6,7.5,0.744,0.9,8.3,9.1,8.7,1.2,0.6,4.5,2.2,28.4,"DAL","lukadoni"
"102",145,"Dorian Finney-Smith",28,80,80,33.1,4.1,8.7,0.471,2.2,5.4,0.395,1.9,3.2,0.599,0.595,0.7,1,0.675,1.5,3.2,4.7,1.9,1.1,0.5,1,2.3,11,"DAL","dorianfinneysmith"
"103",146,"Jalen Brunson",25,79,61,31.9,6.4,12.8,0.502,1.2,3.2,0.373,5.2,9.6,0.545,0.549,2.3,2.7,0.84,0.5,3.4,3.9,4.8,0.8,0,1.6,1.9,16.3,"DAL","jalenbrunson"
"104",147,"Tim Hardaway Jr.",29,42,20,29.6,5,12.6,0.394,2.4,7.2,0.336,2.5,5.4,0.473,0.491,1.9,2.5,0.757,0.3,3.4,3.7,2.2,0.9,0.1,0.8,1.8,14.2,"DAL","timhardawayjr"
"105",150,"Reggie Bullock",30,68,37,28,3,7.4,0.401,2.1,5.8,0.36,0.9,1.6,0.55,0.542,0.6,0.7,0.833,0.5,3.1,3.5,1.2,0.6,0.2,0.6,1.6,8.6,"DAL","reggiebullock"
"106",151,"Maxi Kleber",30,59,21,24.6,2.4,6,0.398,1.4,4.3,0.325,1,1.7,0.586,0.516,0.8,1.1,0.708,1.2,4.7,5.9,1.2,0.5,1,0.8,2.3,7,"DAL","maxikleber"
"107",152,"Dwight Powell",30,82,71,21.9,3.3,4.9,0.671,0.2,0.5,0.351,3.1,4.4,0.703,0.687,2,2.6,0.783,2.1,2.8,4.9,1.2,0.5,0.5,0.8,2.7,8.7,"DAL","dwightpowell"
"108",153,"Josh Green",21,67,3,15.5,1.9,3.8,0.508,0.4,1.2,0.359,1.5,2.7,0.573,0.563,0.5,0.7,0.689,0.8,1.6,2.4,1.2,0.7,0.2,0.7,1.7,4.8,"DAL","joshgreen"
"109",156,"Brandon Knight",30,5,0,13,2,5,0.4,0.8,3.4,0.235,1.2,1.6,0.75,0.48,1.6,1.6,1,0,1.6,1.6,1.6,0.2,0,0.8,1,6.4,"DAL","brandonknight"
"110",157,"Sterling Brown",26,49,3,12.8,1.2,3.2,0.381,0.6,1.9,0.304,0.6,1.3,0.492,0.471,0.3,0.3,0.933,0.5,2.5,3,0.7,0.3,0.1,0.5,1.1,3.3,"DAL","sterlingbrown"
"111",158,"Frank Ntilikina",23,58,5,11.8,1.5,3.8,0.399,0.7,1.9,0.342,0.9,1.9,0.455,0.484,0.4,0.4,0.96,0.2,1.2,1.4,1.2,0.5,0.1,0.5,1.1,4.1,"DAL","frankntilikina"
